,sample_batch,sample,batch,sample_id,sex,run_day
1,1.1,1,1,1,female,1
2,2.1,2,1,2,male,1
3,4.1,4,1,3,male,1
4,5.1,5,1,4,female,1
5,6.1,6,1,5,female,1
6,7.1,7,1,6,female,1
7,8.1,8,1,7,male,1
8,9.1,9,1,8,male,1
9,10.1,10,1,9,pool,1
10,1.2,1,2,10,female,1
11,2.2,2,2,11,male,1
12,4.2,4,2,12,male,1
13,5.2,5,2,13,female,1
14,6.2,6,2,14,female,1
15,7.2,7,2,15,female,1
16,8.2,8,2,16,male,1
17,9.2,9,2,17,male,1
18,10.2,10,2,18,pool,1
19,1.3,1,3,19,female,2
20,2.3,2,3,20,male,2
21,4.3,4,3,21,male,2
22,5.3,5,3,22,female,2
23,6.3,6,3,23,female,2
24,7.3,7,3,24,female,2
25,8.3,8,3,25,male,2
26,9.3,9,3,26,male,2
27,10.3,10,3,27,pool,2
